plot_lctn,sgg_cd,emd_cd,plot_gbn,bun,ji,bd_rgst_pk,dstrct_gbn_cd,dstrct_gbn_nm,dstrct_cd,dstrct_nm,etc_dstrct_nm,crtn_day
서울특별시 영등포구 영등포동 602-42번지,11560,10100,0,602,42,11560-2507,1,용도지역코드,UQA122,제2종일반주거지역,제2종일반주거지역,20170728
서울특별시 영등포구 영등포동 602-43번지,11560,10100,0,602,43,11560-2508,1,용도지역코드,1120,일반상업지역,일반상업지역,20221124
서울특별시 영등포구 영등포동 602-44번지,11560,10100,0,602,44,11560-2509,1,용도지역코드,1020,일반주거지역,일반주거지역,20170728
서울특별시 영등포구 영등포동 602-45번지,11560,10100,0,602,45,11560-2510,1,용도지역코드,1020,일반주거지역,일반주거지역,20170728
서울특별시 영등포구 영등포동 602-46번지,11560,10100,0,602,46,11560-100256908,1,용도지역코드,UQA122,제2종일반주거지역,제2종일반주거지역,20200217
서울특별시 영등포구 영등포동 602-50번지,11560,10100,0,602,50,11560-2513,1,용도지역코드,1020,일반주거지역,일반주거지역,20221212
서울특별시 영등포구 영등포동 602-51번지,11560,10100,0,602,51,11560-2514,1,용도지역코드,1020,일반주거지역,일반주거지역,20210726
서울특별시 영등포구 영등포동 602-52번지,11560,10100,0,602,52,11560-2515,1,용도지역코드,1020,일반주거지역,일반주거지역,20170728
서울특별시 영등포구 영등포동 602-53번지,11560,10100,0,602,53,11560-2516,1,용도지역코드,1020,일반주거지역,일반주거지역,20170728
서울특별시 영등포구 영등포동 602-55번지,11560,10100,0,602,55,11560-2517,1,용도지역코드,1020,일반주거지역,일반주거지역,20221230
서울특별시 영등포구 영등포동 602-59번지,11560,10100,0,602,59,11560-2520,1,용도지역코드,1020,일반주거지역,일반주거지역,20170328
서울특별시 영등포구 영등포동 602-5번지,11560,10100,0,602,5,11560-2478,1,용도지역코드,1020,일반주거지역,일반주거지역,20210127
서울특별시 영등포구 영등포동 602-5번지,11560,10100,0,602,5,11560-2478,2,용도지구코드,CG,,미관4종지구,20210127
서울특별시 영등포구 영등포동 602-69번지,11560,10100,0,602,69,11560-2522,1,용도지역코드,1020,일반주거지역,일반주거지역,20170321
서울특별시 영등포구 영등포동 602-6번지,11560,10100,0,602,6,11560-2479,1,용도지역코드,1020,일반주거지역,일반주거지역,20190315
서울특별시 영등포구 영등포동 602-6번지,11560,10100,0,602,6,11560-2479,2,용도지구코드,,,제4종미관,20190315
서울특별시 영등포구 영등포동 602-71번지,11560,10100,0,602,71,11560-2524,1,용도지역코드,1020,일반주거지역,일반주거지역,20170728
서울특별시 영등포구 영등포동 602-79번지,11560,10100,0,602,79,11560-100215376,1,용도지역코드,UQA122,제2종일반주거지역,제2종일반주거지역,20200728
서울특별시 영등포구 영등포동 602-81번지,11560,10100,0,602,81,11560-2531,1,용도지역코드,1020,일반주거지역,일반주거지역,20170216
서울특별시 영등포구 영등포동 602-88번지,11560,10100,0,602,88,11560-2533,1,용도지역코드,1020,일반주거지역,일반주거지역,20170728
서울특별시 영등포구 영등포동 602-8번지,11560,10100,0,602,8,11560-100234175,1,용도지역코드,UQA122,제2종일반주거지역,제2종일반주거지역,20190530
서울특별시 영등포구 영등포동 602-8번지,11560,10100,0,602,8,11560-100234175,1,용도지역코드,UQA001,도시지역,도시지역,20190530
서울특별시 영등포구 영등포동 602-8번지,11560,10100,0,602,8,11560-100234175,2,용도지구코드,UQG130,일반미관지구,일반미관지구,20190530
서울특별시 영등포구 영등포동 602-8번지,11560,10100,0,602,8,11560-100234175,2,용도지구코드,UNE200,대공방어협조구역,대공방어협조구역,20190530
서울특별시 영등포구 영등포동 606-16번지,11560,10100,0,606,16,11560-100273549,1,용도지역코드,UQA01X,도시지역,도시지역,20210914
서울특별시 영등포구 영등포동 606-16번지,11560,10100,0,606,16,11560-100273549,1,용도지역코드,UQA122,제2종일반주거지역,제2종일반주거지역,20210914
서울특별시 영등포구 영등포동 606-16번지,11560,10100,0,606,16,11560-100273549,2,용도지구코드,UNE200,대공방어협조구역,대공방어협조구역,20210914
서울특별시 영등포구 영등포동 606-19번지,11560,10100,0,606,19,11560-2558,1,용도지역코드,1020,일반주거지역,일반주거지역,20170408
서울특별시 영등포구 영등포동 608번지,11560,10100,0,608,0,11560-2560,1,용도지역코드,1020,일반주거지역,일반주거지역,20170728
서울특별시 영등포구 영등포동 616-4번지,11560,10100,0,616,4,11560-2565,1,용도지역코드,,,일반주거지역,20170728
서울특별시 영등포구 영등포동 616-4번지,11560,10100,0,616,4,11560-2565,2,용도지구코드,,,주차장정비지구,20170728
서울특별시 영등포구 영등포동 618-11번지,11560,10100,0,618,11,11560-100227280,1,용도지역코드,UQA122,제2종일반주거지역,제2종일반주거지역,20190530
서울특별시 영등포구 영등포동 618-11번지,11560,10100,0,618,11,11560-100227280,1,용도지역코드,UQA001,도시지역,도시지역,20190530
서울특별시 영등포구 영등포동 618-13번지,11560,10100,0,618,13,11560-100240649,1,용도지역코드,UQA122,제2종일반주거지역,제2종일반주거지역,20180810
서울특별시 영등포구 영등포동 618-153번지,11560,10100,0,618,153,11560-2750,1,용도지역코드,1020,일반주거지역,일반주거지역,20170422
서울특별시 영등포구 영등포동 618-154번지,11560,10100,0,618,154,11560-2751,1,용도지역코드,1020,일반주거지역,일반주거지역,20170711
서울특별시 영등포구 영등포동 618-158번지,11560,10100,0,618,158,11560-100234530,1,용도지역코드,UQA122,제2종일반주거지역,제2종일반주거지역,20200427
서울특별시 영등포구 영등포동 618-161번지,11560,10100,0,618,161,11560-2755,3,용도구역코드,300,지구단위계획구역,지구단위계획구역,20240205
서울특별시 영등포구 영등포동 618-161번지,11560,10100,0,618,161,11560-2755,1,용도지역코드,1020,일반주거지역,일반주거지역,20240205
서울특별시 영등포구 영등포동 618-167번지,11560,10100,0,618,167,11560-100190914,1,용도지역코드,1022,제2종일반주거지역,제2종일반주거지역,20190306
서울특별시 영등포구 영등포동 618-168번지,11560,10100,0,618,168,11560-2757,1,용도지역코드,,,일반주거,20170314
서울특별시 영등포구 영등포동 618-168번지,11560,10100,0,618,168,11560-2757,2,용도지구코드,,,주차장정비,20170314
서울특별시 영등포구 영등포동 618-16번지,11560,10100,0,618,16,11560-100190194,1,용도지역코드,1022,제2종일반주거지역,제2종일반주거지역,20200520
서울특별시 영등포구 영등포동 618-173번지,11560,10100,0,618,173,11560-2762,2,용도지구코드,,,주차장정비,20190713
서울특별시 영등포구 영등포동 618-173번지,11560,10100,0,618,173,11560-2762,1,용도지역코드,,,일반주거,20190713
서울특별시 영등포구 영등포동 618-17번지,11560,10100,0,618,17,11560-2688,1,용도지역코드,1020,일반주거지역,일반주거지역,20180608
서울특별시 영등포구 영등포동 618-181번지,11560,10100,0,618,181,11560-2764,1,용도지역코드,,,일반주거지역,20170222
서울특별시 영등포구 영등포동 618-181번지,11560,10100,0,618,181,11560-2764,2,용도지구코드,,,주차장정비지구,20170222
서울특별시 영등포구 영등포동 618-184번지,11560,10100,0,618,184,11560-2766,2,용도지구코드,,,주차장정비,20170530
서울특별시 영등포구 영등포동 618-184번지,11560,10100,0,618,184,11560-2766,1,용도지역코드,,,일반주거,20170530
서울특별시 영등포구 영등포동 618-185번지,11560,10100,0,618,185,11560-2767,1,용도지역코드,,,일반주거지역,20210104
서울특별시 영등포구 영등포동 618-185번지,11560,10100,0,618,185,11560-2767,2,용도지구코드,,,주차장정비지구,20210104
서울특별시 영등포구 영등포동 618-188번지,11560,10100,0,618,188,11560-2768,1,용도지역코드,0100,도시지역,도시지역,20220702
서울특별시 영등포구 영등포동 618-188번지,11560,10100,0,618,188,11560-2768,1,용도지역코드,1020,일반주거지역,일반주거지역,20220702
서울특별시 영등포구 영등포동 618-18번지,11560,10100,0,618,18,11560-2689,1,용도지역코드,,,일반주거지역,20170728
서울특별시 영등포구 영등포동 618-194번지,11560,10100,0,618,194,11560-2770,2,용도지구코드,,,주차장정비지구,20170314
서울특별시 영등포구 영등포동 618-194번지,11560,10100,0,618,194,11560-2770,1,용도지역코드,,,일반주거지역,20170314
서울특별시 영등포구 영등포동 618-195번지,11560,10100,0,618,195,11560-2771,1,용도지역코드,,,준공업지지역,20220825
서울특별시 영등포구 영등포동 618-195번지,11560,10100,0,618,195,11560-2771,2,용도지구코드,,,주차장정비지역,20220825
서울특별시 영등포구 영등포동 618-198번지,11560,10100,0,618,198,11560-2772,1,용도지역코드,,,일반주거,20190315
서울특별시 영등포구 영등포동 618-198번지,11560,10100,0,618,198,11560-2772,2,용도지구코드,,,주차장정비,20190315
서울특별시 영등포구 영등포동 618-19번지,11560,10100,0,618,19,11560-2690,1,용도지역코드,,,일반주거지역,20180207
서울특별시 영등포구 영등포동 618-20번지,11560,10100,0,618,20,11560-3179,1,용도지역코드,1020,일반주거지역,일반주거지역,20190530
서울특별시 영등포구 영등포동 618-211번지,11560,10100,0,618,211,11560-2777,1,용도지역코드,,,준공업지역,20170519
서울특별시 영등포구 영등포동 618-212번지,11560,10100,0,618,212,11560-100188714,1,용도지역코드,1230,준공업지역,준공업지역,20190530
서울특별시 영등포구 영등포동 618-213번지,11560,10100,0,618,213,11560-100188674,1,용도지역코드,1230,준공업지역,준공업지역,20190530
서울특별시 영등포구 영등포동 618-214번지,11560,10100,0,618,214,11560-2781,1,용도지역코드,,,준공업지역,20240226
서울특별시 영등포구 영등포동 618-215번지,11560,10100,0,618,215,11560-2782,1,용도지역코드,1230,준공업지역,준공업지역,20200410
서울특별시 영등포구 영등포동 618-216번지,11560,10100,0,618,216,11560-2783,1,용도지역코드,,,준공업지역,20170728
서울특별시 영등포구 영등포동 618-217번지,11560,10100,0,618,217,11560-100189317,1,용도지역코드,1230,준공업지역,준공업지역,20190530
서울특별시 영등포구 영등포동 618-218번지,11560,10100,0,618,218,11560-2785,2,용도지구코드,,,주차장정비,20171118
서울특별시 영등포구 영등포동 618-218번지,11560,10100,0,618,218,11560-2785,1,용도지역코드,,,준공업지역,20171118
서울특별시 영등포구 영등포동 618-21번지,11560,10100,0,618,21,11560-100187604,1,용도지역코드,1022,제2종일반주거지역,제2종일반주거지역,20200520
서울특별시 영등포구 영등포동 618-220번지,11560,10100,0,618,220,11560-2791,1,용도지역코드,1230,준공업지역,준공업지역,20231226
서울특별시 영등포구 영등포동 618-223번지,11560,10100,0,618,223,11560-100197437,1,용도지역코드,1022,제2종일반주거지역,제2종일반주거지역,20190530
서울특별시 영등포구 영등포동 618-223번지,11560,10100,0,618,223,11560-100197437,1,용도지역코드,0100,도시지역,도시지역,20190530
서울특별시 영등포구 영등포동 618-227번지,11560,10100,0,618,227,11560-2797,1,용도지역코드,1022,제2종일반주거지역,2종일반주거지역,20171014
서울특별시 영등포구 영등포동 618-228번지,11560,10100,0,618,228,11560-2798,1,용도지역코드,,,일반주거지역,20170728
서울특별시 영등포구 영등포동 618-22번지,11560,10100,0,618,22,11560-3180,1,용도지역코드,,,일반주거지역,20190321
서울특별시 영등포구 영등포동 618-234번지,11560,10100,0,618,234,11560-2799,1,용도지역코드,,,일반주거지역,20230623
서울특별시 영등포구 영등포동 618-234번지,11560,10100,0,618,234,11560-2799,2,용도지구코드,,,주차장정비지구,20230623
서울특별시 영등포구 영등포동 618-239번지,11560,10100,0,618,239,11560-3194,1,용도지역코드,1020,일반주거지역,일반주거지역,20170728
서울특별시 영등포구 영등포동 618-240번지,11560,10100,0,618,240,11560-3195,1,용도지역코드,1020,일반주거지역,일반주거지역,20170518
서울특별시 영등포구 영등포동 618-250번지,11560,10100,0,618,250,11560-3196,1,용도지역코드,1020,일반주거지역,일반주거지역,20170304
서울특별시 영등포구 영등포동 618-253번지,11560,10100,0,618,253,11560-2802,1,용도지역코드,,,일반주거,20170225
서울특별시 영등포구 영등포동 618-253번지,11560,10100,0,618,253,11560-2802,2,용도지구코드,,,주차장정비,20170225
서울특별시 영등포구 영등포동 618-25번지,11560,10100,0,618,25,11560-2693,1,용도지역코드,,,일반주거,20190713
서울특별시 영등포구 영등포동 618-25번지,11560,10100,0,618,25,11560-2693,2,용도지구코드,,,주차장정비,20190713
서울특별시 영등포구 영등포동 618-264번지,11560,10100,0,618,264,11560-2806,1,용도지역코드,,,준공업지역,20200706
서울특별시 영등포구 영등포동 618-264번지,11560,10100,0,618,264,11560-2806,2,용도지구코드,,,주차장정비지구,20200706
서울특별시 영등포구 영등포동 618-268번지,11560,10100,0,618,268,11560-2810,1,용도지역코드,1230,준공업지역,준공업지역,20170728
서울특별시 영등포구 영등포동 618-26번지,11560,10100,0,618,26,11560-3181,1,용도지역코드,1020,일반주거지역,일반주거지역,20171205
서울특별시 영등포구 영등포동 618-271번지,11560,10100,0,618,271,11560-2811,1,용도지역코드,1230,준공업지역,준공업지역,20210729
서울특별시 영등포구 영등포동 618-27번지,11560,10100,0,618,27,11560-2694,1,용도지역코드,,,일반주거,20170415
서울특별시 영등포구 영등포동 618-27번지,11560,10100,0,618,27,11560-2694,2,용도지구코드,,,주차장정비,20170415
서울특별시 영등포구 영등포동 618-282번지,11560,10100,0,618,282,11560-2812,1,용도지역코드,1230,준공업지역,준공업지역,20170728
서울특별시 영등포구 영등포동 618-285번지,11560,10100,0,618,285,11560-2813,1,용도지역코드,1230,준공업지역,준공업지역,20171205
서울특별시 영등포구 영등포동 618-28번지,11560,10100,0,618,28,11560-2697,1,용도지역코드,,,일반주거,20170728
서울특별시 영등포구 영등포동 618-29번지,11560,10100,0,618,29,11560-100261700,1,용도지역코드,UQA122,제2종일반주거지역,제2종일반주거지역,20201006
서울특별시 영등포구 영등포동 618-30번지,11560,10100,0,618,30,11560-100262692,1,용도지역코드,UQA122,제2종일반주거지역,제2종일반주거지역,20201021
서울특별시 영등포구 영등포동 618-313번지,11560,10100,0,618,313,11560-3536,3,용도구역코드,301,제1종지구단위계획구역,지구단위계획구역,20230925
서울특별시 영등포구 영등포동 618-313번지,11560,10100,0,618,313,11560-3536,1,용도지역코드,1230,준공업지역,준공업지역,20230925
서울특별시 영등포구 영등포동 618-31번지,11560,10100,0,618,31,11560-2701,1,용도지역코드,1022,제2종일반주거지역,제2종일반주거지역,20170728
서울특별시 영등포구 영등포동 618-32번지,11560,10100,0,618,32,11560-100193194,1,용도지역코드,1022,제2종일반주거지역,제2종일반주거지역,20210104
서울특별시 영등포구 영등포동 618-33번지,11560,10100,0,618,33,11560-100251229,1,용도지역코드,UQA122,제2종일반주거지역,제2종일반주거지역,20200615
서울특별시 영등포구 영등포동 618-35번지,11560,10100,0,618,35,11560-2705,1,용도지역코드,,,일반주거지역,20200901
서울특별시 영등포구 영등포동 618-35번지,11560,10100,0,618,35,11560-2705,2,용도지구코드,,,주차장정비지구,20200901
서울특별시 영등포구 영등포동 618-36번지,11560,10100,0,618,36,11560-100190054,1,용도지역코드,1020,일반주거지역,일반주거지역,20211206
서울특별시 영등포구 영등포동 618-372번지,11560,10100,0,618,372,11560-2828,1,용도지역코드,,,일반주거지역,20181120
서울특별시 영등포구 영등포동 618-372번지,11560,10100,0,618,372,11560-2828,2,용도지구코드,,,주차장정비지구,20181120
