carpark_nm,carpark_gbn,carpark_type,slots,lon,lat
당산1동 01구역,거주자우선,개별,,126.892431560885,37.5259168405666
당산1동 02구역,거주자우선,구간,,126.899226482882,37.5268711381692
당산1동 02구역,거주자우선,구간,,126.899209580055,37.5268215686543
당산1동 02구역,거주자우선,구간,,126.899198321619,37.5267810139708
당산1동 02구역,거주자우선,구간,,126.899184265264,37.5267179318558
당산1동 02구역,거주자우선,구간,,126.899175847226,37.5266683695773
당산1동 02구역,거주자우선,구간,,126.899150496145,37.5265917627889
당산1동 02구역,거주자우선,구간,,126.899142078144,37.526542200507
당산1동 02구역,거주자우선,구간,,126.899130834951,37.5264903833069
당산1동 02구역,거주자우선,구간,,126.89911957964,37.5264475761121
당산1동 02구역,거주자우선,구간,,126.899111152575,37.5264047713319
당산1동 02구역,거주자우선,구간,,126.899099942796,37.5263281766085
당산1동 02구역,거주자우선,구간,,126.899040808004,37.5261366632012
당산1동 02구역,거주자우선,구간,,126.899026742793,37.5260803385664
당산1동 02구역,거주자우선,구간,,126.899015490639,37.526035278857
당산1동 02구역,거주자우선,구간,,126.898998624581,37.5259586792828
당산1동 02구역,거주자우선,구간,,126.898936695555,37.5257423858719
당산1동 02구역,거주자우선,구간,,126.898919829643,37.5256657862829
당산1동 02구역,거주자우선,구간,,126.898911427094,37.525604961467
당산1동 02구역,거주자우선,구간,,126.898883266683,37.5255148371754
당산1동 02구역,거주자우선,구간,,126.898877674134,37.5254675297894
당산1동 02구역,거주자우선,구간,,126.898804563936,37.5251543690129
당산1동 02구역,거주자우선,구간,,126.89877357564,37.5250642422653
당산1동 02구역,거주자우선,구간,,126.898756722222,37.5249786326357
당산1동 02구역,거주자우선,구간,,126.898568243696,37.5242328917654
당산1동 02구역,거주자우선,구간,,126.898559814142,37.5241923394332
당산1동 02구역,거주자우선,구간,,126.898545749655,37.5241360147236
당산1동 02구역,거주자우선,구간,,126.898531669935,37.5240909525247
당산1동 02구역,거주자우선,개별,,126.89849231395,37.5239152232995
당산1동 02구역,거주자우선,개별,,126.898514777345,37.5240346253808
당산1동 02구역,거주자우선,개별,,126.89849790309,37.5239647832183
당산1동 02구역,거주자우선,구간,,126.897950022487,37.5254689843887
당산1동 02구역,거주자우선,구간,,126.898006601759,37.5254577707399
당산1동 03구역,거주자우선,구간,,126.891812746635,37.5235669128193
당산1동 03구역,거주자우선,개별,,126.891790238757,37.5234858020099
당산1동 03구역,거주자우선,개별,,126.891779007611,37.5234294790869
당산1동 03구역,거주자우선,구간,,126.891826779935,37.5236412583462
당산1동 03구역,거주자우선,구간,,126.891863457811,37.5237021095744
당산1동 03구역,거주자우선,구간,,126.891900174747,37.5237359307641
당산1동 03구역,거주자우선,개별,,126.892696768383,37.5224178152293
당산1동 03구역,거주자우선,개별,,126.892626042141,37.522434644745
당산1동 03구역,거주자우선,개별,,126.892872011193,37.5224866757342
당산1동 03구역,거주자우선,개별,,126.892411059401,37.5224682366908
당산1동 03구역,거주자우선,개별,,126.892153647098,37.5225074207736
당산1동 03구역,거주자우선,개별,,126.892351723054,37.5224310162803
당산1동 03구역,거주자우선,개별,,126.89220745848,37.522453409761
당산1동 03구역,거주자우선,개별,,126.891887815273,37.5225015464751
당산1동 03구역,거주자우선,개별,,126.892888902413,37.5225407511902
당산1동 03구역,거주자우선,개별,,126.891698222921,37.5225779579686
당산1동 03구역,거주자우선,개별,,126.891981103088,37.5225286618988
당산1동 03구역,거주자우선,개별,,126.892774105911,37.5237096973527
당산1동 03구역,거주자우선,개별,,126.892734502415,37.5237164189068
당산1동 03구역,거주자우선,개별,,126.892406371374,37.5237634230492
당산1동 03구역,거주자우선,구간,,126.892239469468,37.5237925534534
당산1동 03구역,거주자우선,구간,,126.892081064813,37.5238126813654
당산1동 03구역,거주자우선,구간,,126.892024482658,37.5238261446814
당산1동 03구역,거주자우선,구간,,126.892469890398,37.5208870310605
당산1동 03구역,거주자우선,구간,,126.89248674865,37.520963631621
당산1동 03구역,거주자우선,구간,,126.892503632788,37.5210222121517
당산1동 03구역,거주자우선,구간,,126.892526176245,37.5210785453231
당산1동 03구역,거주자우선,구간,,126.892531735385,37.5211461255678
당산1동 03구역,거주자우선,구간,,126.892559922051,37.521211473891
당산1동 03구역,거주자우선,구간,,126.89258516448,37.5213579097498
당산1동 03구역,거주자우선,구간,,126.89259640884,37.5214052226038
당산1동 03구역,거주자우선,구간,,126.892616111523,37.5214705631954
당산1동 03구역,거주자우선,구간,,126.892638603558,37.5215629363912
당산1동 03구역,거주자우선,구간,,126.892652669579,37.5216147568151
당산1동 03구역,거주자우선,구간,,126.892658254687,37.5216643170234
당산1동 03구역,거주자우선,구간,,126.891384759126,37.5222645718246
당산1동 03구역,거주자우선,구간,,126.891407246613,37.5223591977431
당산1동 03구역,거주자우선,구간,,126.891421311931,37.5224110183055
당산1동 03구역,거주자우선,구간,,126.891644000626,37.5229157840711
당산1동 03구역,거주자우선,개별,,126.891785321038,37.5229744787815
당산1동 03구역,거주자우선,구간,,126.89162712977,37.5228481934265
당산1동 03구역,거주자우선,구간,,126.891607424332,37.5227851051884
당산1동 03구역,거주자우선,구간,,126.891601823542,37.5227468074537
당산1동 03구역,거주자우선,구간,,126.891582157265,37.5226566891792
당산1동 03구역,거주자우선,구간,,126.891511885534,37.5223592939053
당산1동 03구역,거주자우선,구간,,126.891494995349,37.5223052182523
당산1동 03구역,거주자우선,구간,,126.891486576364,37.5222601604027
당산1동 03구역,거주자우선,구간,,126.891411112809,37.5216429044379
당산1동 03구역,거주자우선,구간,,126.891419649192,37.52160687219
당산1동 03구역,거주자우선,구간,,126.891433857984,37.5215595826254
당산1동 03구역,거주자우선,구간,,126.891467912028,37.5214785237058
당산1동 03구역,거주자우선,구간,,126.891479269884,37.5214469990574
당산1동 03구역,거주자우선,구간,,126.891496290341,37.5214109745977
당산1동 03구역,거주자우선,구간,,126.891527460774,37.5213682056134
당산1동 03구역,거주자우선,구간,,126.891867365377,37.5209946012709
당산1동 03구역,거주자우선,구간,,126.891923990906,37.5209496029745
당산1동 03구역,거주자우선,구간,,126.891983441143,37.5209068597401
당산1동 03구역,거주자우선,구간,,126.892057024936,37.5208686344059
당산1동 03구역,거주자우선,구간,,126.892119299811,37.5208281461902
당산1동 03구역,거주자우선,구간,,126.892173087319,37.5207899026996
당산1동 03구역,거주자우선,구간,,126.89178540463,37.5209584861053
당산1동 03구역,거주자우선,구간,,126.891774186877,37.5208931531451
당산1동 03구역,거주자우선,구간,,126.895366620381,37.5223177216434
당산1동 03구역,거주자우선,구간,,126.895358563984,37.5220113737088
당산1동 03구역,거주자우선,구간,,126.8954007397,37.5221871065271
당산1동 03구역,거주자우선,구간,,126.89541759495,37.5222682116634
당산1동 03구역,거주자우선,구간,,126.895420372722,37.5223042542161
당산1동 03구역,거주자우선,구간,,126.895248004874,37.5222004861984
당산1동 03구역,거주자우선,구간,,126.895259225851,37.5222658188191
당산1동 03구역,거주자우선,구간,,126.89527328437,37.5223243964366
당산1동 03구역,거주자우선,구간,,126.895253840513,37.5220720985393
당산1동 03구역,거주자우선,구간,,126.895276329684,37.5221689762347
당산1동 03구역,거주자우선,구간,,126.895293197386,37.5222410713767
당산1동 03구역,거주자우선,구간,,126.895304446736,37.5222861314655
당산1동 03구역,거주자우선,구간,,126.895293571975,37.5219730235088
당산1동 03구역,거주자우선,구간,,126.895287874922,37.5220023010351
당산1동 03구역,거주자우선,구간,,126.89530761473,37.5220428636407
당산1동 03구역,거주자우선,구간,,126.895304739451,37.5220766486805
당산1동 03구역,거주자우선,구간,,126.89531599193,37.5221194562664
당산1동 03구역,거주자우선,구간,,126.895344093294,37.522247874004
당산1동 03구역,거주자우선,구간,,126.895214197152,37.5221081034687
당산1동 03구역,거주자우선,구간,,126.895219828092,37.5221261285113
당산1동 03구역,거주자우선,구간,,126.895225465334,37.5221396485475
당산1동 03구역,거주자우선,구간,,126.895253623233,37.5222275212513
당산1동 03구역,거주자우선,구간,,126.895220073792,37.5219504332685
당산1동 03구역,거주자우선,구간,,126.89522848239,37.5220045008702
당산1동 03구역,거주자우선,구간,,126.895239741114,37.5220428034576
당산1동 03구역,거주자우선,구간,,126.895321386872,37.5223064190329
당산1동 03구역,거주자우선,구간,,126.895279475726,37.5219414759281
당산1동 03구역,거주자우선,구간,,126.895330078787,37.5221577613511
당산1동 03구역,거주자우선,구간,,126.895335687732,37.5221915539096
당산1동 03구역,거주자우선,구간,,126.895338473328,37.5222219652069
당산1동 03구역,거주자우선,구간,,126.895363839489,37.5222839315926
당산1동 03구역,거주자우선,구간,,126.895333221519,37.5219325135455
당산1동 03구역,거주자우선,구간,,126.895409161032,37.5222321641018
당산1동 03구역,거주자우선,구간,,126.895183296358,37.5219594106595
당산1동 03구역,거주자우선,구간,,126.895186105516,37.5219729281881
당산1동 03구역,거주자우선,구간,,126.895188889467,37.5220044657416
당산1동 03구역,거주자우선,구간,,126.895205791704,37.5220517833638
당산1동 03구역,거주자우선,구간,,126.895264837921,37.5222973588772
당산1동 03구역,거주자우선,구간,,126.895228529636,37.5219707133232
당산1동 03구역,거주자우선,구간,,126.89526509926,37.5221104011239
당산1동 03구역,거주자우선,구간,,126.895259405335,37.522137426145
당산1동 03구역,거주자우선,구간,,126.89528194805,37.5221960112865
당산1동 03구역,거주자우선,구간,,126.895347317789,37.5219640611199
당산1동 03구역,거주자우선,구간,,126.89536416664,37.522049671273
당산1동 03구역,거주자우선,구간,,126.895375434876,37.5220812163379
당산1동 03구역,거주자우선,구간,,126.895381050126,37.5221105038885
당산1동 03구역,거주자우선,구간,,126.895392324668,37.5221375439453
당산1동 04구역,거주자우선,구간,,126.899778380934,37.5202379793596
당산1동 04구역,거주자우선,구간,,126.899868991303,37.5201524609569
당산1동 04구역,거주자우선,구간,,126.899863392504,37.5201096585825
당산1동 04구역,거주자우선,구간,,126.899854959698,37.5200713588182
당산1동 04구역,거주자우선,구간,,126.899704846914,37.5202424219535
당산1동 04구역,거주자우선,구간,,126.899651099835,37.5202536388346
당산1동 04구역,거주자우선,구간,,126.899611501796,37.5202581101981
당산1동 04구역,거주자우선,구간,,126.899537958687,37.5202693102003
당산1동 04구역,거주자우선,구간,,126.899470071558,37.5202805149709
당산1동 04구역,거주자우선,구간,,126.899147624852,37.5203207851995
당산1동 04구역,거주자우선,구간,,126.899057065042,37.5203680104766
당산1동 04구역,거주자우선,구간,,126.899113628164,37.520365806298
당산1동 04구역,거주자우선,구간,,126.899175853354,37.5203591019126
당산1동 04구역,거주자우선,구간,,126.899093883701,37.5203274968186
당산1동 04구역,거주자우선,구간,,126.89904014254,37.5203342084133
당산1동 04구역,거주자우선,구간,,126.898992051304,37.5203454298286
당산1동 04구역,거주자우선,구간,,126.898938310121,37.5203521413769
당산1동 04구역,거주자우선,개별,,126.89910048409,37.5217263089101
당산1동 04구역,거주자우선,개별,,126.899108895464,37.5217803762417
당산1동 04구역,거주자우선,개별,,126.899342686183,37.522478852563
당산1동 04구역,거주자우선,개별,,126.899415493651,37.5230172634559
당산1동 04구역,거주자우선,개별,,126.899477340228,37.523294374294
당산1동 04구역,거주자우선,개별,,126.899485755069,37.5233461890821
당산1동 04구역,거주자우선,개별,,126.899706523074,37.5232157314388
당산1동 04구역,거주자우선,개별,,126.897565301014,37.5213949952906
당산1동 04구역,거주자우선,구간,,126.899881090694,37.5216796705676
당산1동 04구역,거주자우선,구간,,126.899816030392,37.5216908779298
당산1동 04구역,거주자우선,구간,,126.899722680478,37.5217088187594
당산1동 04구역,거주자우선,구간,,126.899651964016,37.5217200212289
당산1동 04구역,거주자우선,구간,,126.899572757327,37.5217357214493
당산1동 04구역,거주자우선,구간,,126.899420060438,37.5217220764769
당산1동 04구역,거주자우선,구간,,126.899329571738,37.521715241865
당산1동 04구역,거주자우선,개별,,126.898402204785,37.52154100481
당산1동 04구역,거주자우선,개별,,126.898314507764,37.5215612018956
당산1동 04구역,거주자우선,개별,,126.898079712254,37.5216105546512
당산1동 04구역,거주자우선,개별,,126.897542279333,37.521685548614
당산1동 04구역,거주자우선,개별,,126.896849271205,37.5217829294207
당산1동 04구역,거주자우선,개별,,126.896275167708,37.5217880578958
당산1동 04구역,거주자우선,개별,,126.896696590252,37.5217580184113
당산1동 04구역,거주자우선,개별,,126.896750289186,37.521782842933
당산1동 04구역,거주자우선,개별,,126.898567890241,37.5224049832654
당산1동 04구역,거주자우선,개별,,126.898606296078,37.5232823671975
당산1동 04구역,거주자우선,개별,,126.89844514546,37.5232439361483
당산1동 04구역,거주자우선,개별,,126.89815662895,37.5232797278022
당산1동 04구역,거주자우선,개별,,126.898063291984,37.5232864047978
당산1동 04구역,거주자우선,개별,,126.89797276778,37.5233043466768
당산1동 04구역,거주자우선,개별,,126.897879372435,37.5233538210803
당산1동 04구역,거주자우선,개별,,126.897706829616,37.5233739443153
당산1동 04구역,거주자우선,개별,,126.897641761365,37.5233896554795
당산1동 04구역,거주자우선,개별,,126.897545586858,37.5234030871228
당산1동 04구역,거주자우선,개별,,126.897409844863,37.5233973380291
당산1동 04구역,거주자우선,개별,,126.897152431955,37.5234365329996
당산1동 04구역,거주자우선,개별,,126.897237402228,37.5233442542385
당산1동 04구역,거주자우선,개별,,126.897122108244,37.5228643701885
당산1동 04구역,거주자우선,개별,,126.897237671013,37.5231482864954
당산1동 04구역,거주자우선,구간,,126.897158673408,37.5209497719387
당산1동 04구역,거주자우선,구간,,126.897153088466,37.5208979594291
당산1동 04구역,거주자우선,구간,,126.897144663142,37.5208551544709
당산1동 04구역,거주자우선,구간,,126.897136281118,37.5207808144597
당산1동 04구역,거주자우선,구간,,126.897119387225,37.5207267395909
당산1동 04구역,거주자우선,구간,,126.897153410007,37.520663699041
당산1동 04구역,거주자우선,구간,,126.897125235,37.5205870892833
당산1동 04구역,거주자우선,구간,,126.897111169169,37.5205330168749
당산1동 04구역,거주자우선,구간,,126.897091472089,37.5204609195057
당산1동 04구역,거주자우선,구간,,126.897080249781,37.5203955870371
당산1동 04구역,거주자우선,구간,,126.897066193301,37.5203347571099
당산1동 04구역,거주자우선,구간,,126.897060589901,37.5202964596142
당산1동 04구역,거주자우선,구간,,126.897046517981,37.5202468922034
당산2동 01구역,거주자우선,개별,,126.900183146208,37.5369473930326
당산2동 01구역,거주자우선,개별,,126.900225728724,37.5368325515011
당산2동 01구역,거주자우선,개별,,126.901306842838,37.536394222379
당산2동 01구역,거주자우선,개별,,126.901278605736,37.5363570325183
당산2동 01구역,거주자우선,구간,,126.901385759158,37.5366105283519
당산2동 01구역,거주자우선,구간,,126.901351794972,37.5366262674881
당산2동 01구역,거주자우선,구간,,126.901317824836,37.5366465116104
당산2동 01구역,거주자우선,구간,,126.901295181037,37.5366577551885
당산2동 01구역,거주자우선,구간,,126.901272537231,37.5366689987622
당산2동 01구역,거주자우선,구간,,126.901235744374,37.5366847355
당산2동 01구역,거주자우선,구간,,126.901207437366,37.5367004793255
당산2동 01구역,거주자우선,구간,,126.901181964913,37.5367117205154
당산2동 01구역,거주자우선,구간,,126.899635533012,37.5360954837258
당산2동 01구역,거주자우선,구간,,126.89966950637,37.5360729875877
당산2동 01구역,거주자우선,구간,,126.899711968514,37.5360482461484
당산2동 01구역,거주자우선,개별,,126.900385611949,37.5357199511992
당산2동 01구역,거주자우선,개별,,126.90045920903,37.5356794682427
당산2동 01구역,거주자우선,개별,,126.900529965483,37.5356479928507
당산2동 01구역,거주자우선,구간,,126.900764854155,37.5355603429309
당산2동 01구역,거주자우선,구간,,126.900812972802,37.5355356058462
당산2동 01구역,거주자우선,구간,,126.900872417647,37.5355018682461
당산2동 01구역,거주자우선,구간,,126.90093186244,37.5354681306157
당산2동 01구역,거주자우선,구간,,126.900988475627,37.5354366430821
당산2동 01구역,거주자우선,구간,,126.901039419716,37.5354141607743
당산2동 01구역,거주자우선,개별,,126.899826654393,37.5370101611801
당산2동 01구역,거주자우선,개별,,126.899772871176,37.537039398049
당산2동 01구역,거주자우선,개별,,126.899990826405,37.5369269578163
당산2동 01구역,거주자우선,개별,,126.900050248675,37.5369112406222
당산2동 01구역,거주자우선,개별,,126.900242445429,37.5370240281497
당산2동 01구역,거주자우선,개별,,126.900426764851,37.5366795511562
당산2동 01구역,거주자우선,개별,,126.901349559809,37.5361757655153
당산2동 01구역,거주자우선,개별,,126.901307101101,37.5361982550454
당산2동 01구역,거주자우선,개별,,126.90252947952,37.5358749101858
당산2동 01구역,거주자우선,개별,,126.902569012381,37.5359267503253
당산2동 01구역,거주자우선,구간,,126.903587900071,37.5354658238735
당산2동 01구역,거주자우선,구간,,126.90360772039,37.5354500725466
당산2동 01구역,거주자우선,구간,,126.903636032219,37.5354298231439
당산2동 01구역,거주자우선,구간,,126.903653018149,37.5354185744983
당산2동 01구역,거주자우선,구간,,126.903667181297,37.5354028185458
당산2동 01구역,거주자우선,구간,,126.903681344439,37.5353870625916
당산2동 01구역,거주자우선,구간,,126.903698337594,37.5353701826929
당산2동 01구역,거주자우선,구간,,126.90371816076,37.5353521788486
당산2동 01구역,거주자우선,개별,,126.906004556111,37.5323750874694
당산2동 01구역,거주자우선,구간,,126.906368616259,37.5330240972535
당산2동 01구역,거주자우선,구간,,126.90639128072,37.5329948326956
당산2동 01구역,거주자우선,구간,,126.906413959237,37.5329543056348
당산2동 01구역,거주자우선,구간,,126.906442308756,37.5329025205523
당산2동 01구역,거주자우선,구간,,126.906479154914,37.5328417321835
당산2동 01구역,거주자우선,구간,,126.906504667435,37.5327967023443
당산2동 02구역,거주자우선,개별,,126.898641213929,37.5350990291461
당산2동 02구역,거주자우선,개별,,126.898728734826,37.5352207392832
당산2동 02구역,거주자우선,개별,,126.898559319917,37.5349998487855
당산2동 02구역,거주자우선,개별,,126.898516949558,37.5349570148632
당산2동 02구역,거주자우선,개별,,126.898494363858,37.5349254604379
당산2동 02구역,거주자우선,개별,,126.898468949624,37.5348939035762
당산2동 02구역,거주자우선,개별,,126.898443538466,37.5348600942105
당산2동 02구역,거주자우선,개별,,126.898274128273,37.534636950794
당산2동 02구역,거주자우선,개별,,126.898231773586,37.5345828542748
당산2동 02구역,거주자우선,구간,,126.897683292042,37.5343954227488
당산2동 02구역,거주자우선,구간,,126.897632341485,37.5344224086094
당산2동 02구역,거주자우선,구간,,126.897581393972,37.5344471419492
당산2동 03구역,거주자우선,개별,,126.897353139248,37.5296941643175
당산2동 03구역,거주자우선,개별,,126.897319251463,37.5296558423076
